date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:49:33	110/110	---M-Z	200	added ('OK')	text/plain	etag:W/%2270-19ed10b3c38%22	https://www.dominos.com/robots.txt		(from )
18:49:34	320792/320792	---MCZ	200	added ('OK')	text/html	etag:%22ymw080pptq4icm%22	https://www.dominos.com/	C:/Aali/dominos/www.dominos.com/index.html	(from )
18:49:35	181843/181843	---M-Z	200	added ('OK')	application/javascript	etag:0x8DEA06EEB2CB444	https://www.dominos.com/public/d0dcbf8173c8d8318b7968bf1aa8f971f52e37ec8c59	C:/Aali/dominos/www.dominos.com/public/d0dcbf8173c8d8318b7968bf1aa8f971f52e37ec8c59	(from https://www.dominos.com/)
18:49:37	159018/159018	---M-Z	200	added ('OK')	text/css	etag:%226a316c0b-26d2a%22	https://www.dominos.com/dpz-ecomm-makeline-ui-mfe/_next/static/css/styles.css	C:/Aali/dominos/www.dominos.com/dpz-ecomm-makeline-ui-mfe/_next/static/css/styles.css	(from https://www.dominos.com/)
18:49:37	5279/5279	---M-Z	200	added ('OK')	text/css	etag:%226a316bd4-149f%22	https://www.dominos.com/dpz-ecomm-auth-mfe/_next/static/css/styles.css	C:/Aali/dominos/www.dominos.com/dpz-ecomm-auth-mfe/_next/static/css/styles.css	(from https://www.dominos.com/)
18:49:38	18902/18902	---M-Z	200	added ('OK')	text/css	etag:%226a316c27-49d6%22	https://www.dominos.com/dpz-ecomm-service-methods-mfe/_next/static/css/styles.css	C:/Aali/dominos/www.dominos.com/dpz-ecomm-service-methods-mfe/_next/static/css/styles.css	(from https://www.dominos.com/)
18:49:39	22800/22800	---M-Z	200	added ('OK')	text/css	etag:%226a316bf7-5910%22	https://www.dominos.com/dpz-ecomm-cart-mfe/_next/static/css/styles.css	C:/Aali/dominos/www.dominos.com/dpz-ecomm-cart-mfe/_next/static/css/styles.css	(from https://www.dominos.com/)
18:49:39	23939/23939	---M-Z	200	added ('OK')	text/css	etag:%226a316bfb-5d83%22	https://www.dominos.com/dpz-ecomm-campaign-mfe/_next/static/css/styles.css	C:/Aali/dominos/www.dominos.com/dpz-ecomm-campaign-mfe/_next/static/css/styles.css	(from https://www.dominos.com/)
18:49:40	32392/32392	---M-Z	200	added ('OK')	text/css	etag:%226a316c0a-7e88%22	https://www.dominos.com/dpz-ecomm-deals-mfe/_next/static/css/styles.css	C:/Aali/dominos/www.dominos.com/dpz-ecomm-deals-mfe/_next/static/css/styles.css	(from https://www.dominos.com/)
18:49:41	39074/39074	---M-Z	200	added ('OK')	text/css	etag:%226a316c02-98a2%22	https://www.dominos.com/dpz-ecomm-rewards-mfe/_next/static/css/styles.css	C:/Aali/dominos/www.dominos.com/dpz-ecomm-rewards-mfe/_next/static/css/styles.css	(from https://www.dominos.com/)
18:49:42	30877/30877	---M-Z	200	added ('OK')	text/css	etag:%226a316bd9-789d%22	https://www.dominos.com/dpz-ecomm-product-mfe/_next/static/css/styles.css	C:/Aali/dominos/www.dominos.com/dpz-ecomm-product-mfe/_next/static/css/styles.css	(from https://www.dominos.com/)
18:49:43	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Fri,%2026%20Jun%202026%2012:49:43%20GMT	http://www.dominos.com/en/	C:/Aali/dominos/www.dominos.com/en/index.html	(from https://www.dominos.com/)
18:49:43	123312/123312	---M--	200	added ('OK')	font/woff2	etag:%226a316c0b-1e1b0%22	https://www.dominos.com/dpz-ecomm-makeline-ui-mfe/_next/static/fonts/Dominos_Sans_Display_VF.woff2	C:/Aali/dominos/www.dominos.com/dpz-ecomm-makeline-ui-mfe/_next/static/fonts/Dominos_Sans_Display_VF.woff2	(from https://www.dominos.com/)
18:49:44	29545/29545	---M-Z	200	added ('OK')	text/css	etag:W/%227369-19ed1101a50%22	https://www.dominos.com/_next/static/css/pages/_app_30f9e76b0d076251.css	C:/Aali/dominos/www.dominos.com/_next/static/css/pages/_app_30f9e76b0d076251.css	(from https://www.dominos.com/)
18:49:44	112594/112594	---M-Z	200	added ('OK')	application/javascript	etag:W/%221b7d2-19ed1101a50%22	https://www.dominos.com/_next/static/chunks/polyfills-42372ed130431b0a.js	C:/Aali/dominos/www.dominos.com/_next/static/chunks/polyfills-42372ed130431b0a.js	(from https://www.dominos.com/)
18:49:45	241/241	---M-Z	200	added ('OK')	application/javascript	etag:W/%22f1-19ed10b3c38%22	https://www.dominos.com/raygun-window.js	C:/Aali/dominos/www.dominos.com/raygun-window.js	(from https://www.dominos.com/)
18:49:45	1174/1174	---M-Z	200	added ('OK')	application/javascript	etag:W/%22496-19ed10b3c38%22	https://www.dominos.com/speedcurve.js	C:/Aali/dominos/www.dominos.com/speedcurve.js	(from https://www.dominos.com/)
18:49:47	32325/32325	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2026%20Jun%202026%2012:49:47%20GMT	https://cdn.speedcurve.com/js/lux.js?id=1300008814	C:/Aali/dominos/cdn.speedcurve.com/js/lux7606.js	(from https://www.dominos.com/)
18:49:48	178593/178593	---M-Z	200	added ('OK')	application/javascript	etag:W/%222b9a1-19ed1101a50%22	https://www.dominos.com/_next/static/chunks/webpack-987b1c6ab6ec90df.js	C:/Aali/dominos/www.dominos.com/_next/static/chunks/webpack-987b1c6ab6ec90df.js	(from https://www.dominos.com/)
18:49:49	137095/137095	---M-Z	200	added ('OK')	application/javascript	etag:W/%2221787-19ed1101a50%22	https://www.dominos.com/_next/static/chunks/main-9bbeb9edf0d21a79.js	C:/Aali/dominos/www.dominos.com/_next/static/chunks/main-9bbeb9edf0d21a79.js	(from https://www.dominos.com/)
18:49:49	37626/37626	---M-Z	200	added ('OK')	application/javascript	etag:W/%2292fa-19ed1101a50%22	https://www.dominos.com/_next/static/chunks/pages/index-938fd7e01c741043.js	C:/Aali/dominos/www.dominos.com/_next/static/chunks/pages/index-938fd7e01c741043.js	(from https://www.dominos.com/)
18:49:49	545013/545013	---M-Z	200	added ('OK')	application/javascript	etag:W/%22850f5-19ed1101a50%22	https://www.dominos.com/_next/static/chunks/pages/_app-1f23290222f8d82a.js	C:/Aali/dominos/www.dominos.com/_next/static/chunks/pages/_app-1f23290222f8d82a.js	(from https://www.dominos.com/)
18:49:50	3289/3289	---M-Z	200	added ('OK')	application/javascript	etag:W/%22cd9-19ed1101a50%22	https://www.dominos.com/_next/static/5vHIo5Bucj2LAT1PfviJp/_buildManifest.js	C:/Aali/dominos/www.dominos.com/_next/static/5vHIo5Bucj2LAT1PfviJp/_buildManifest.js	(from https://www.dominos.com/)
18:49:50	168/168	---M-Z	200	added ('OK')	application/javascript	etag:W/%22a8-19ed1101a50%22	https://www.dominos.com/_next/static/5vHIo5Bucj2LAT1PfviJp/_ssgManifest.js	C:/Aali/dominos/www.dominos.com/_next/static/5vHIo5Bucj2LAT1PfviJp/_ssgManifest.js	(from https://www.dominos.com/)
18:49:51	199425/199425	---MCZ	200	added ('OK')	text/html	etag:%22mwyxbn45p42mjs%22	https://www.dominos.com/menu	C:/Aali/dominos/www.dominos.com/menu.html	(from https://www.dominos.com/)
18:49:52	202363/202363	---MCZ	200	added ('OK')	text/html	etag:%22hquy4o654c2lsl%22	https://www.dominos.com/deals	C:/Aali/dominos/www.dominos.com/deals.html	(from https://www.dominos.com/)
18:49:54	164937/164937	---MCZ	200	added ('OK')	text/html	etag:%22hugx3rnkpy1uht%22	https://www.dominos.com/my-deals-and-rewards	C:/Aali/dominos/www.dominos.com/my-deals-and-rewards.html	(from https://www.dominos.com/)
18:49:57	206742/206742	---MCZ	200	added ('OK')	text/html	etag:%22jolh56uyiq26d9%22	https://www.dominos.com/tracker	C:/Aali/dominos/www.dominos.com/tracker.html	(from https://www.dominos.com/)
18:49:58	338/338	---M-Z	200	added ('OK')	image/svg+xml	etag:%226a316b67-152%22	https://www.dominos.com/dpz-ecomm-makeline-ui-mfe/icons/modern/place--neutral-white.svg	C:/Aali/dominos/www.dominos.com/dpz-ecomm-makeline-ui-mfe/icons/modern/place--neutral-white.svg	(from https://www.dominos.com/)
18:49:59	39498/39498	---M-Z	200	added ('OK')	text/css	etag:%226a316bf0-9a4a%22	https://www.dominos.com/dpz-ecomm-checkout-mfe/_next/static/css/styles.css	C:/Aali/dominos/www.dominos.com/dpz-ecomm-checkout-mfe/_next/static/css/styles.css	(from https://www.dominos.com/)
18:50:01	286483/286483	---M--	200	added ('OK')	image/jpeg	date:Mon,%2015%20Jun%202026%2010:13:28%20GMT	https://www.dominos.com/cms/assets/3e434123-d667-4f23-960c-d55c9987e109?im=Crop,rect=(210,873,2796,837);Resize=(1700),allowExpansion	C:/Aali/dominos/www.dominos.com/cms/assets/3e434123-d667-4f23-960c-d55c9987e1090fb9.jpg	(from https://www.dominos.com/)
18:50:02	320811/320811	---MCZ	200	added ('OK')	text/html	etag:%22sxeuosi1gb4i01%22	https://www.dominos.com/?type=order_delivery	C:/Aali/dominos/www.dominos.com/index32f4.html	(from https://www.dominos.com/)
